Column1,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,short_name,Name,Team,Nationality,Position.1,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
281,Borussia Dortmund,Sebastian Rode,25,Central Midfield,Bayern Munich,€12.00m,in,Summer,12,1 Bundesliga,2016,2016/2017,Germany,S. Rode,S. Rode,FC Bayern München,Germany,"CDM, CM, RB",79,82,11000000,90000,Right,High/High,Normal (170-185),69,55,66,78,55,72,51,57,73,77,77,75,71,78,76,75,81,87,70,65,85,82,70,73,51,77,83,82,9,8,14,7,11
288,1.FSV Mainz 05,José Rodríguez,21,Central Midfield,Galatasaray,€2.15m,in,Summer,2.15,1 Bundesliga,2016,2016/2017,Germany,J. Rodriguez,J. Rodriguez,Southampton,England,"LM, ST",77,81,8500000,50000,Right,High/Low,Lean (185+),70,79,76,76,74,79,69,29,66,75,81,84,79,77,65,75,81,85,71,74,41,44,80,69,71,16,28,21,12,12,16,14,9
297,VfL Wolfsburg,Bas Dost,27,Centre-Forward,Sporting CP,€11.85m,out,Summer,11.85,1 Bundesliga,2016,2016/2017,Germany,B. Dost,B. Dost,VfL Wolfsburg,Netherlands,ST,79,80,12000000,120000,Right,Medium/Low,Lean (185+),38,86,89,63,81,49,35,32,37,68,54,65,37,84,35,84,55,64,84,73,67,39,87,51,76,29,40,22,6,12,15,11,8
353,Tottenham Hotspur,Alex Pritchard,23,Attacking Midfield,Norwich,€9.40m,out,Summer,9.4,Premier League,2016,2016/2017,England,A. Pritchard,A. Pritchard,Tottenham Hotspur,England,"CAM, CM, LM",71,79,2500000,25000,Right,High/High,Lean (170-185),63,67,44,73,51,76,73,78,65,71,77,70,73,60,85,70,58,75,39,68,67,37,70,73,66,46,40,43,13,13,14,10,8
355,Watford FC,Roberto Pereyra,25,Attacking Midfield,Juventus,€13.50m,in,Summer,13.5,Premier League,2016,2016/2017,England,R. Pereyra,R. Pereyra,Juventus,Argentina,"CAM, CM",81,86,23000000,110000,Right,High/High,Lean (170-185),78,66,60,83,76,86,84,76,79,85,85,85,85,78,75,69,69,91,65,79,80,75,77,82,72,71,77,81,11,10,8,8,7
356,Juventus FC,Roberto Pereyra,25,Attacking Midfield,Watford,€13.50m,out,Summer,13.5,Serie A,2016,2016/2017,Italy,R. Pereyra,R. Pereyra,Juventus,Argentina,"CAM, CM",81,86,23000000,110000,Right,High/High,Lean (170-185),78,66,60,83,76,86,84,76,79,85,85,85,85,78,75,69,69,91,65,79,80,75,77,82,72,71,77,81,11,10,8,8,7
370,Middlesbrough FC,Marten de Roon,25,Defensive Midfield,Atalanta BC,€10.50m,in,Summer,10.5,Premier League,2016,2016/2017,England,M. de Roon,M. de Roon,Atalanta,Netherlands,CDM,69,73,1100000,9000,Right,High/High,Normal (185+),62,53,69,67,50,68,49,46,63,72,64,67,60,70,66,71,88,86,73,56,87,68,66,70,59,59,66,64,14,15,7,12,12
371,Atalanta BC,Marten de Roon,25,Defensive Midfield,Middlesbrough,€10.50m,out,Summer,10.5,Serie A,2016,2016/2017,Italy,M. de Roon,M. de Roon,Atalanta,Netherlands,CDM,69,73,1100000,9000,Right,High/High,Normal (185+),62,53,69,67,50,68,49,46,63,72,64,67,60,70,66,71,88,86,73,56,87,68,66,70,59,59,66,64,14,15,7,12,12
405,Liverpool FC,Luis Alberto,23,Central Midfield,Lazio,€4.00m,out,Summer,4,Premier League,2016,2016/2017,England,L. Alberto,Luis Alberto,Deportivo de La Coruña,Spain,"CAM, CF, ST",73,82,4500000,30000,Right,Medium/Low,Lean (170-185),76,68,47,83,58,75,70,69,73,78,68,66,67,66,54,59,48,59,61,72,29,28,69,71,56,24,25,18,6,8,6,12,11
406,SS Lazio,Luis Alberto,23,Central Midfield,Liverpool,€4.00m,in,Summer,4,Serie A,2016,2016/2017,Italy,L. Alberto,Luis Alberto,Deportivo de La Coruña,Spain,"CAM, CF, ST",73,82,4500000,30000,Right,Medium/Low,Lean (170-185),76,68,47,83,58,75,70,69,73,78,68,66,67,66,54,59,48,59,61,72,29,28,69,71,56,24,25,18,6,8,6,12,11
457,AC Milan,Stephan El Shaarawy,23,Left Winger,AS Roma,€13.00m,out,Summer,13,Serie A,2016,2016/2017,Italy,S. El Shaarawy,S. El Shaarawy,AS Monaco,Italy,LW,80,86,20000000,60000,Right,High/High,Lean (170-185),71,75,51,71,77,84,86,71,61,87,86,86,83,74,82,75,60,72,57,75,54,36,77,73,74,25,30,25,5,3,5,5,3
458,AS Roma,Stephan El Shaarawy,23,Left Winger,AC Milan,€13.00m,in,Summer,13,Serie A,2016,2016/2017,Italy,S. El Shaarawy,S. El Shaarawy,AS Monaco,Italy,LW,80,86,20000000,60000,Right,High/High,Lean (170-185),71,75,51,71,77,84,86,71,61,87,86,86,83,74,82,75,60,72,57,75,54,36,77,73,74,25,30,25,5,3,5,5,3
461,Chievo Verona,Paul-José Mpoku,24,Attacking Midfield,Standard Liège,€4.00m,in,Summer,4,Serie A,2016,2016/2017,Italy,P. Mpoku,P. Mpoku,Chievo Verona,Congo DR,"LM, CAM",76,82,7000000,50000,Right,Medium/Low,Normal (170-185),72,75,56,73,70,82,79,82,70,78,78,80,77,72,72,89,78,76,78,79,68,59,71,75,81,39,58,46,8,11,7,10,13
475,Udinese Calcio,Iván Piris,27,Right-Back,Monterrey,€1.00m,out,Summer,1,Serie A,2016,2016/2017,Italy,I. Piris,I. Piris,Udinese Calcio,Paraguay,"CB, LB, RB",75,77,4100000,40000,Right,High/High,Lean (170-185),67,45,56,68,40,69,65,45,61,71,79,74,78,77,80,64,75,75,65,51,81,79,51,41,55,81,81,81,11,14,11,14,15
490,UC Sampdoria,Fernando,24,Defensive Midfield,Spartak Moscow,€12.50m,out,Summer,12.5,Serie A,2016,2016/2017,Italy,Fernando,Fernando,U.C. Sampdoria,Brazil,"CDM, CM",76,82,6000000,50000,Right,Low/High,Stocky (170-185),63,66,63,75,45,64,57,54,69,74,77,76,74,73,82,73,81,81,75,70,80,83,50,66,61,80,78,77,16,9,13,8,6
510,UC Sampdoria,Jacopo Sala,24,Central Midfield,Hellas Verona,€2.60m,in,Summer,2.6,Serie A,2016,2016/2017,Italy,J. Sala,J. Sala,Hellas Verona,Italy,"CM, RB",72,78,2900000,20000,Right,High/High,Lean (170-185),75,51,64,73,70,73,71,69,71,73,76,78,72,73,73,74,69,79,75,73,83,69,69,71,65,68,73,73,10,12,8,5,5
513,Udinese Calcio,Seko Fofana,21,Central Midfield,Man City U23,€3.50m,in,Summer,3.5,Serie A,2016,2016/2017,Italy,S. Fofana,S. Fofana,SC Bastia,France,"CM, CDM",62,72,450000,3000,Right,High/High,Normal (170-185),52,58,56,69,39,62,54,42,62,65,66,74,65,62,59,71,59,66,74,62,65,57,54,54,56,55,59,56,9,8,9,11,10
514,Chievo Verona,Antonio Floro Flores,33,Centre-Forward,Sassuolo,€600Th.,in,Summer,0.6,Serie A,2016,2016/2017,Italy,A. Floro Flores,A. Floro Flores,U.S. Sassuolo Calcio,Italy,"LW, ST",72,72,1700000,25000,Right,High/Low,Normal (170-185),65,73,71,70,68,72,76,77,60,76,76,74,72,68,72,76,78,68,69,73,60,26,80,68,76,20,30,24,5,10,9,15,7
515,US Sassuolo,Antonio Floro Flores,33,Centre-Forward,Chievo Verona,€600Th.,out,Summer,0.6,Serie A,2016,2016/2017,Italy,A. Floro Flores,A. Floro Flores,U.S. Sassuolo Calcio,Italy,"LW, ST",72,72,1700000,25000,Right,High/Low,Normal (170-185),65,73,71,70,68,72,76,77,60,76,76,74,72,68,72,76,78,68,69,73,60,26,80,68,76,20,30,24,5,10,9,15,7
519,AC Milan,Alessandro Matri,31,Centre-Forward,Sassuolo,€1.80m,out,Summer,1.8,Serie A,2016,2016/2017,Italy,A. Matri,A. Matri,Lazio,Italy,ST,77,77,6500000,70000,Right,Medium/Low,Normal (170-185),50,80,80,67,78,71,70,46,45,75,79,79,73,72,65,78,85,75,75,56,50,25,84,60,78,22,28,24,4,4,4,5,4
520,US Sassuolo,Alessandro Matri,31,Centre-Forward,AC Milan,€1.80m,in,Summer,1.8,Serie A,2016,2016/2017,Italy,A. Matri,A. Matri,Lazio,Italy,ST,77,77,6500000,70000,Right,Medium/Low,Normal (170-185),50,80,80,67,78,71,70,46,45,75,79,79,73,72,65,78,85,75,75,56,50,25,84,60,78,22,28,24,4,4,4,5,4
524,Bologna FC 1909,Luca Rossettini,31,Centre-Back,Torino,€1.98m,out,Summer,1.98,Serie A,2016,2016/2017,Italy,L. Rossettini,L. Rossettini,Bologna,Italy,CB,75,75,2900000,35000,Right,Low/High,Normal (185+),35,29,72,53,34,40,42,36,59,48,63,65,58,64,52,65,79,60,81,60,77,80,33,29,45,76,80,78,5,5,5,5,5
525,Torino FC,Luca Rossettini,31,Centre-Back,Bologna,€1.98m,in,Summer,1.98,Serie A,2016,2016/2017,Italy,L. Rossettini,L. Rossettini,Bologna,Italy,CB,75,75,2900000,35000,Right,Low/High,Normal (185+),35,29,72,53,34,40,42,36,59,48,63,65,58,64,52,65,79,60,81,60,77,80,33,29,45,76,80,78,5,5,5,5,5
528,Empoli FC,Lorenzo Tonelli,26,Centre-Back,SSC Napoli,€10.00m,out,Summer,10,Serie A,2016,2016/2017,Italy,L. Tonelli,L. Tonelli,Empoli,Italy,CB,77,79,7000000,50000,Right,Low/High,Normal (170-185),41,25,79,56,33,46,38,17,61,56,75,62,56,75,72,52,78,60,76,25,81,81,23,30,35,81,81,79,13,11,13,11,6
529,SSC Napoli,Lorenzo Tonelli,26,Centre-Back,Empoli,€10.00m,in,Summer,10,Serie A,2016,2016/2017,Italy,L. Tonelli,L. Tonelli,Empoli,Italy,CB,77,79,7000000,50000,Right,Low/High,Normal (170-185),41,25,79,56,33,46,38,17,61,56,75,62,56,75,72,52,78,60,76,25,81,81,23,30,35,81,81,79,13,11,13,11,6
534,SS Lazio,Wallace,21,Centre-Back,SC Braga,€8.00m,in,Summer,8,Serie A,2016,2016/2017,Italy,Wallace,Wallace,Carpi,Brazil,RB,70,80,1900000,20000,Right,High/Low,Normal (170-185),72,59,44,70,44,71,41,59,66,72,79,78,72,68,73,75,57,76,58,60,75,64,63,59,60,65,69,72,13,14,8,11,13
535,Delfino Pescara 1936,Andrea Coda,31,Centre-Back,Sampdoria,€200Th.,in,Summer,0.2,Serie A,2016,2016/2017,Italy,A. Coda,A. Coda,U.C. Sampdoria,Italy,CB,71,71,1200000,20000,Right,Low/Medium,Normal (185+),44,28,70,54,20,39,31,15,60,50,52,52,47,68,52,55,70,65,78,18,75,75,30,29,38,74,74,72,8,9,14,15,6
536,UC Sampdoria,Andrea Coda,31,Centre-Back,Pescara,€200Th.,out,Summer,0.2,Serie A,2016,2016/2017,Italy,A. Coda,A. Coda,U.C. Sampdoria,Italy,CB,71,71,1200000,20000,Right,Low/Medium,Normal (185+),44,28,70,54,20,39,31,15,60,50,52,52,47,68,52,55,70,65,78,18,75,75,30,29,38,74,74,72,8,9,14,15,6
33,Real Madrid,Danilo,26,Right-Back,Man City,€30.00m,out,Summer,30,Primera Division,2017,2017/2018,Spain,Danilo,Danilo,Udinese Calcio,Brazil,CB,79,79,6000000,30000,Right,Low/Medium,Normal (185+),30,23,72,60,22,45,34,38,64,60,55,55,50,74,60,72,76,55,76,49,78,86,25,42,50,86,84,82,11,8,11,5,6
35,Manchester City,Danilo,26,Right-Back,Real Madrid,€30.00m,in,Summer,30,Premier League,2017,2017/2018,England,Danilo,Danilo,Udinese Calcio,Brazil,CB,79,79,6000000,30000,Right,Low/Medium,Normal (185+),30,23,72,60,22,45,34,38,64,60,55,55,50,74,60,72,76,55,76,49,78,86,25,42,50,86,84,82,11,8,11,5,6
38,Real Madrid,Burgui,23,Left Winger,Alavés,€3.00m,out,Summer,3,Primera Division,2017,2017/2018,Spain,Burgui,Burgui,Real Sporting de Gijón,Spain,"LM, CAM",74,83,5000000,20000,Right,Medium/Low,Lean (170-185),75,71,55,74,52,78,77,64,64,77,78,79,66,63,62,65,57,65,53,66,33,18,66,70,63,24,28,21,6,8,10,12,10
39,Deportivo Alavés,Burgui,23,Left Winger,Real Madrid,€3.00m,in,Summer,3,Primera Division,2017,2017/2018,Spain,Burgui,Burgui,Real Sporting de Gijón,Spain,"LM, CAM",74,83,5000000,20000,Right,Medium/Low,Lean (170-185),75,71,55,74,52,78,77,64,64,77,78,79,66,63,62,65,57,65,53,66,33,18,66,70,63,24,28,21,6,8,10,12,10
48,Atlético de Madrid,Matías Kranevitter,24,Defensive Midfield,Zenit S-Pb,€8.50m,out,Summer,8.5,Primera Division,2017,2017/2018,Spain,M. Kranevitter,M. Kranevitter,Sevilla FC,Argentina,"CDM, CM",77,85,9000000,15000,Right,Low/Medium,Lean (170-185),60,42,56,74,33,67,47,44,72,73,64,67,65,71,76,61,74,81,70,44,80,82,53,66,46,72,83,79,12,13,7,6,7
76,Valencia CF,Diego Alves,32,Goalkeeper,Flamengo,€300Th.,out,Summer,0.3,Primera Division,2017,2017/2018,Spain,D. Alves,Dani Alves,Juventus,Brazil,RB,85,85,14000000,140000,Right,High/Low,Normal (170-185),80,60,71,80,68,81,77,74,76,85,84,89,81,82,80,87,78,78,57,77,85,83,63,67,70,70,83,86,5,11,9,6,7
79,UD Las Palmas,Roque Mesa,28,Central Midfield,Swansea,€12.50m,out,Summer,12.5,Primera Division,2017,2017/2018,Spain,R. Mesa,Roque Mesa,Unión Deportiva Las Palmas,Spain,"CDM, CM",79,80,9500000,30000,Right,High/High,Stocky (170-),62,67,32,80,34,72,46,48,68,74,79,78,77,79,89,63,79,92,67,54,92,81,67,69,42,67,80,81,15,8,7,11,9
80,Swansea City,Roque Mesa,28,Central Midfield,UD Las Palmas,€12.50m,in,Summer,12.5,Premier League,2017,2017/2018,England,R. Mesa,Roque Mesa,Unión Deportiva Las Palmas,Spain,"CDM, CM",79,80,9500000,30000,Right,High/High,Stocky (170-),62,67,32,80,34,72,46,48,68,74,79,78,77,79,89,63,79,92,67,54,92,81,67,69,42,67,80,81,15,8,7,11,9
91,Deportivo de La Coruña,Fabian Schär,25,Centre-Back,TSG Hoffenheim,€3.00m,in,Summer,3,Primera Division,2017,2017/2018,Spain,F. Schar,F. Schär,TSG Hoffenheim,Switzerland,CB,77,81,7500000,40000,Right,High/High,Normal (185+),65,55,83,73,53,63,65,66,74,67,67,65,67,73,61,76,86,74,78,65,72,74,61,70,80,72,78,76,8,9,11,10,15
92,TSG 1899 Hoffenheim,Fabian Schär,25,Centre-Back,Dep. La Coruña,€3.00m,out,Summer,3,1 Bundesliga,2017,2017/2018,Germany,F. Schar,F. Schär,TSG Hoffenheim,Switzerland,CB,77,81,7500000,40000,Right,High/High,Normal (185+),65,55,83,73,53,63,65,66,74,67,67,65,67,73,61,76,86,74,78,65,72,74,61,70,80,72,78,76,8,9,11,10,15
104,Sevilla FC,Nolito,30,Left Winger,Man City,€7.00m,in,Summer,7,Primera Division,2017,2017/2018,Spain,Nolito,Nolito,Manchester City,Spain,LW,83,83,22500000,160000,Right,High/Low,Normal (170-185),81,82,45,80,65,85,83,80,67,83,79,76,84,84,81,74,63,74,62,81,73,58,82,81,74,30,39,25,10,15,12,8,8
105,Manchester City,Nolito,30,Left Winger,Sevilla FC,€7.00m,out,Summer,7,Premier League,2017,2017/2018,England,Nolito,Nolito,Manchester City,Spain,LW,83,83,22500000,160000,Right,High/Low,Normal (170-185),81,82,45,80,65,85,83,80,67,83,79,76,84,84,81,74,63,74,62,81,73,58,82,81,74,30,39,25,10,15,12,8,8
120,Atlético de Madrid,Rafael Borré,21,Centre-Forward,River Plate,€3.50m,out,Summer,3.5,Primera Division,2017,2017/2018,Spain,R. Borre,R. Borré,Villarreal CF,Colombia,"ST, CF, CAM",74,83,5500000,30000,Right,Medium/Low,Lean (170-185),63,75,74,68,67,77,82,67,61,74,80,77,79,69,74,68,76,64,58,76,58,35,76,65,66,29,33,22,11,14,14,11,8
121,Sevilla FC,Luis Muriel,26,Centre-Forward,Sampdoria,€24.50m,in,Summer,24.5,Primera Division,2017,2017/2018,Spain,L. Muriel,L. Muriel,U.C. Sampdoria,Colombia,ST,76,79,6500000,40000,Right,High/Low,Stocky (170-185),60,73,52,70,70,86,65,60,55,86,88,90,84,69,77,78,62,62,66,71,50,16,76,70,74,18,24,22,8,10,10,14,6
122,UC Sampdoria,Luis Muriel,26,Centre-Forward,Sevilla FC,€24.50m,out,Summer,24.5,Serie A,2017,2017/2018,Italy,L. Muriel,L. Muriel,U.C. Sampdoria,Colombia,ST,76,79,6500000,40000,Right,High/Low,Stocky (170-185),60,73,52,70,70,86,65,60,55,86,88,90,84,69,77,78,62,62,66,71,50,16,76,70,74,18,24,22,8,10,10,14,6
137,Girona FC,Cristhian Stuani,30,Centre-Forward,Middlesbrough,€2.50m,in,Summer,2.5,Primera Division,2017,2017/2018,Spain,C. Stuani,C. Stuani,Middlesbrough,Uruguay,"RM, ST",72,72,2000000,30000,Right,Medium/Low,Normal (170-185),70,72,79,69,73,68,66,57,59,71,69,71,67,79,63,78,83,87,77,63,77,36,77,69,82,39,49,42,16,14,9,16,8
140,Angers SCO,Famara Diédhiou,24,Centre-Forward,Bristol City,€6.00m,out,Summer,6,Ligue 1,2017,2017/2018,France,F. Diedhiou,F. Diedhiou,Angers SCO,Senegal,ST,71,75,2200000,15000,Right,High/Low,Lean (185+),33,79,81,44,63,65,53,33,35,62,47,50,50,60,34,75,50,60,88,58,49,14,82,48,75,14,18,12,7,10,15,11,12
143,FC Girondins Bordeaux,Isaac Kiese Thelin,25,Centre-Forward,RSC Anderlecht,€2.75m,out,Summer,2.75,Ligue 1,2017,2017/2018,France,I. Kiese Thelin,I. Kiese Thelin,FC Girondins de Bordeaux,Sweden,ST,68,74,1200000,20000,Right,Medium/Low,Lean (185+),46,69,71,74,68,64,48,35,59,63,50,65,65,68,45,64,88,68,85,58,69,20,67,71,58,28,25,20,11,16,11,12,8
144,Dijon FCO,Loïs Diony,24,Centre-Forward,Saint-Étienne,€10.00m,out,Summer,10,Ligue 1,2017,2017/2018,France,L. Diony,L. Diony,Dijon FCO,France,ST,70,74,1800000,15000,Right,High/Low,Normal (170-185),57,71,59,51,40,70,43,32,32,68,77,75,70,65,62,78,57,64,71,60,72,21,74,44,53,15,20,13,7,6,8,14,16
145,AS Saint-Étienne,Loïs Diony,24,Centre-Forward,Dijon,€10.00m,in,Summer,10,Ligue 1,2017,2017/2018,France,L. Diony,L. Diony,Dijon FCO,France,ST,70,74,1800000,15000,Right,High/Low,Normal (170-185),57,71,59,51,40,70,43,32,32,68,77,75,70,65,62,78,57,64,71,60,72,21,74,44,53,15,20,13,7,6,8,14,16
146,Olympique Lyon,Alexandre Lacazette,26,Centre-Forward,Arsenal,€53.00m,out,Summer,53,Ligue 1,2017,2017/2018,France,A. Lacazette,A. Lacazette,Olympique Lyonnais,France,ST,85,89,43500000,70000,Right,High/High,Normal (170-185),70,86,76,80,82,85,74,73,68,83,84,87,87,84,84,81,78,80,77,74,70,40,86,77,82,23,29,30,11,6,9,5,6
147,Arsenal FC,Alexandre Lacazette,26,Centre-Forward,Olympique Lyon,€53.00m,in,Summer,53,Premier League,2017,2017/2018,England,A. Lacazette,A. Lacazette,Olympique Lyonnais,France,ST,85,89,43500000,70000,Right,High/High,Normal (170-185),70,86,76,80,82,85,74,73,68,83,84,87,87,84,84,81,78,80,77,74,70,40,86,77,82,23,29,30,11,6,9,5,6
159,FC Toulouse,Corentin Jean,21,Centre-Forward,Monaco,€3.50m,in,Summer,3.5,Ligue 1,2017,2017/2018,France,C. Jean,C. Jean,AS Monaco,France,"ST, LM, RM",72,84,3900000,30000,Right,High/Low,Normal (170-),57,77,64,67,73,71,63,55,61,68,82,81,90,68,81,71,45,67,43,63,35,25,77,62,64,20,15,21,12,7,14,10,15
160,AS Monaco,Corentin Jean,21,Centre-Forward,Toulouse,€3.50m,out,Summer,3.5,Ligue 1,2017,2017/2018,France,C. Jean,C. Jean,AS Monaco,France,"ST, LM, RM",72,84,3900000,30000,Right,High/Low,Normal (170-),57,77,64,67,73,71,63,55,61,68,82,81,90,68,81,71,45,67,43,63,35,25,77,62,64,20,15,21,12,7,14,10,15
161,FC Toulouse,Martin Braithwaite,26,Centre-Forward,Middlesbrough,€11.30m,out,Summer,11.3,Ligue 1,2017,2017/2018,France,M. Braithwaite,M. Braithwaite,Toulouse Football Club,Denmark,ST,78,81,10500000,30000,Right,High/High,Normal (170-185),72,75,65,77,75,80,72,75,62,77,82,87,90,73,76,79,85,80,77,73,75,31,81,74,71,32,30,26,14,13,11,7,8
163,LOSC Lille,Edgar Ié,23,Centre-Back,Belenenses,€3.50m,in,Summer,3.5,Ligue 1,2017,2017/2018,France,E. Ie,Edgar Ié,Villarreal CF,Portugal,"CB, RB",68,72,950000,15000,Right,Low/High,Lean (170-185),58,32,59,61,38,46,49,66,54,53,77,80,71,58,64,67,90,68,73,55,65,62,35,33,49,70,72,69,7,9,7,10,12
176,Olympique Lyon,Corentin Tolisso,22,Central Midfield,Bayern Munich,€41.50m,out,Summer,41.5,Ligue 1,2017,2017/2018,France,C. Tolisso,C. Tolisso,Olympique Lyonnais,France,"CM, CDM",78,86,12500000,30000,Right,High/High,Normal (170-185),66,73,82,77,62,70,66,73,80,76,72,73,72,80,73,80,89,80,78,72,81,77,78,75,70,74,77,72,7,10,14,9,14
177,Bayern Munich,Corentin Tolisso,22,Central Midfield,Olympique Lyon,€41.50m,in,Summer,41.5,1 Bundesliga,2017,2017/2018,Germany,C. Tolisso,C. Tolisso,Olympique Lyonnais,France,"CM, CDM",78,86,12500000,30000,Right,High/High,Normal (170-185),66,73,82,77,62,70,66,73,80,76,72,73,72,80,73,80,89,80,78,72,81,77,78,75,70,74,77,72,7,10,14,9,14
190,FC Girondins Bordeaux,Jérémy Ménez,30,Right Winger,Antalyaspor,€1.50m,out,Summer,1.5,Ligue 1,2017,2017/2018,France,J. Menez,J. Ménez,FC Girondins de Bordeaux,France,"ST, LW, CF",79,79,10000000,60000,Right,Medium/Low,Lean (170-185),70,83,60,76,76,86,79,70,55,87,85,87,79,77,75,68,69,69,55,70,48,34,82,71,84,16,20,20,3,7,3,7,3
193,Dijon FCO,Wesley Saïd,22,Left Winger,Stade Rennais,€1.50m,in,Summer,1.5,Ligue 1,2017,2017/2018,France,W. Said,W. Saïd,Stade Rennais FC,France,"LW, LM",67,79,1300000,20000,Right,Medium/Low,Normal (170-185),61,68,61,69,60,72,46,29,59,70,76,80,77,62,85,67,53,52,42,55,43,22,66,44,61,19,15,14,11,9,12,12,14
194,Stade Rennais FC,Wesley Saïd,22,Left Winger,Dijon,€1.50m,out,Summer,1.5,Ligue 1,2017,2017/2018,France,W. Said,W. Saïd,Stade Rennais FC,France,"LW, LM",67,79,1300000,20000,Right,Medium/Low,Normal (170-185),61,68,61,69,60,72,46,29,59,70,76,80,77,62,85,67,53,52,42,55,43,22,66,44,61,19,15,14,11,9,12,12,14
195,EA Guingamp,Nill De Pauw,27,Right Winger,Zulte Waregem,€350Th.,out,Summer,0.35,Ligue 1,2017,2017/2018,France,N. De Pauw,N. De Pauw,En Avant de Guingamp,Belgium,RM,70,70,1400000,15000,Right,High/High,Normal (170-185),67,57,63,68,67,72,57,62,65,74,68,75,74,71,72,71,76,72,70,70,68,49,67,68,54,25,38,24,12,16,12,8,8
220,OGC Nice,Valentin Eysseric,25,Attacking Midfield,Fiorentina,€3.50m,out,Summer,3.5,Ligue 1,2017,2017/2018,France,V. Eysseric,V. Eysseric,OGC Nice,France,"CAM, LM",76,80,7000000,30000,Right,Medium/Low,Normal (170-185),74,72,52,77,72,77,76,82,73,79,72,75,77,70,67,76,58,65,63,75,58,32,71,77,71,33,31,24,9,13,10,11,8
221,ACF Fiorentina,Valentin Eysseric,25,Attacking Midfield,OGC Nice,€3.50m,in,Summer,3.5,Serie A,2017,2017/2018,Italy,V. Eysseric,V. Eysseric,OGC Nice,France,"CAM, LM",76,80,7000000,30000,Right,Medium/Low,Normal (170-185),74,72,52,77,72,77,76,82,73,79,72,75,77,70,67,76,58,65,63,75,58,32,71,77,71,33,31,24,9,13,10,11,8
222,Paris Saint-Germain,Serge Aurier,24,Right-Back,Spurs,€25.00m,out,Summer,25,Ligue 1,2017,2017/2018,France,S. Aurier,S. Aurier,Paris Saint-Germain,Côte d'Ivoire,"RB, CB",83,88,26500000,70000,Right,High/High,Stocky (170-185),80,65,77,79,50,76,69,30,71,79,84,85,76,82,78,78,93,87,84,58,81,79,74,71,66,80,82,83,7,10,15,16,9
223,Tottenham Hotspur,Serge Aurier,24,Right-Back,Paris SG,€25.00m,in,Summer,25,Premier League,2017,2017/2018,England,S. Aurier,S. Aurier,Paris Saint-Germain,Côte d'Ivoire,"RB, CB",83,88,26500000,70000,Right,High/High,Stocky (170-185),80,65,77,79,50,76,69,30,71,79,84,85,76,82,78,78,93,87,84,58,81,79,74,71,66,80,82,83,7,10,15,16,9
225,Stade Rennais FC,Adama Diakhaby,21,Left Winger,Monaco,€10.00m,out,Summer,10,Ligue 1,2017,2017/2018,France,A. Diakhaby,A. Diakhaby,Stade Rennais FC,France,ST,65,77,875000,8000,Right,Medium/Low,Lean (170-185),50,69,70,60,53,69,53,39,48,60,72,72,55,59,64,66,68,57,43,60,28,14,60,54,69,15,17,16,11,8,11,5,9
226,AS Monaco,Adama Diakhaby,21,Left Winger,Stade Rennais,€10.00m,in,Summer,10,Ligue 1,2017,2017/2018,France,A. Diakhaby,A. Diakhaby,Stade Rennais FC,France,ST,65,77,875000,8000,Right,Medium/Low,Lean (170-185),50,69,70,60,53,69,53,39,48,60,72,72,55,59,64,66,68,57,43,60,28,14,60,54,69,15,17,16,11,8,11,5,9
240,FC Nantes,Guillaume Gillet,33,Defensive Midfield,Olympiacos,€1.00m,out,Summer,1,Ligue 1,2017,2017/2018,France,G. Gillet,G. Gillet,FC Nantes,Belgium,"CM, CDM, RB",77,77,5000000,30000,Right,High/High,Normal (185+),72,73,78,79,71,71,65,65,75,77,68,68,67,75,54,73,78,85,76,72,75,79,76,71,69,72,77,78,9,14,15,12,10
269,Dijon FCO,Benjamin Jeannot,25,Centre-Forward,FC Lorient,€2.00m,in,Summer,2,Ligue 1,2017,2017/2018,France,B. Jeannot,B. Jeannot,FC Lorient,France,ST,74,78,4500000,20000,Right,Medium/Low,Normal (170-185),51,77,67,65,71,65,50,49,59,73,74,72,74,76,65,74,69,56,67,71,54,32,78,62,72,25,19,19,9,10,6,14,7
285,1.FSV Mainz 05,Viktor Fischer,23,Left Winger,Middlesbrough,€3.00m,in,Summer,3,1 Bundesliga,2017,2017/2018,Germany,V. Fischer,V. Fischer,Middlesbrough,Denmark,LW,74,81,4800000,30000,Right,High/Low,Normal (170-185),65,72,55,72,74,77,69,66,70,80,77,78,77,72,68,76,56,70,65,70,59,39,74,72,65,30,36,20,13,14,6,14,15
287,Bayern Munich,Kingsley Coman,21,Right Winger,Juventus,€21.00m,in,Summer,21,1 Bundesliga,2017,2017/2018,Germany,K. Coman,K. Coman,FC Bayern München,France,"LW, ST, RW",81,88,24000000,90000,Right,Medium/Low,Lean (170-185),79,76,52,78,77,86,84,70,62,79,94,93,88,76,86,78,73,74,58,76,36,23,75,69,70,11,15,15,5,3,5,3,5
